"Data";"Hora";"Moeda";"Categoria";"Quantidade";"Saldo"
"08/12/2023";"19:54:01";"cReal";"Depósito de carteira externa";"CREAL 182,97000000";"CREAL 182,97000000"
"30/11/2023";"18:46:44";"Bitcoin";"Retirada para carteira externa";"-BTC 0,03594219";"BTC 0,00000000"
"30/11/2023";"18:46:44";"Bitcoin";"Taxa de mineração, prioridade normal";"-BTC 0,00046750";"BTC 0,03594219"
"29/11/2023";"07:36:02";"Bitcoin";"Taxa sobre compra - Executora";"-BTC 0,00011224";"BTC 0,03640969"
"29/11/2023";"07:36:02";"Bitcoin";"Compra";"BTC 0,02244885";"BTC 0,03652193"
"29/11/2023";"07:36:02";"Bitcoin";"Taxa sobre compra - Executora";"-BTC 0,00000299";"BTC 0,01407308"
"29/11/2023";"07:36:02";"Bitcoin";"Compra";"BTC 0,00059900";"BTC 0,01407607"
"29/11/2023";"07:36:02";"Real Brasileiro";"Compra";"-R$ 4.188,28";"R$ 0,64"
"29/11/2023";"07:36:02";"Real Brasileiro";"Compra";"-R$ 111,72";"R$ 4.188,92"
"29/11/2023";"07:32:42";"Real Brasileiro";"Depósito bancário";"R$ 4.300,00";"R$ 4.300,64"
"28/11/2023";"11:10:18";"Bitcoin";"Taxa sobre compra - Executora";"-BTC 0,00006769";"BTC 0,01347707"
"28/11/2023";"11:10:18";"Bitcoin";"Compra";"BTC 0,01353896";"BTC 0,01354476"
"28/11/2023";"11:10:18";"Bitcoin";"Taxa sobre compra - Executora";"-BTC 0,00000001";"BTC 0,00000580"
"28/11/2023";"11:10:18";"Bitcoin";"Compra";"BTC 0,00000316";"BTC 0,00000581"
"28/11/2023";"11:10:18";"Bitcoin";"Compra";"BTC 0,00000045";"BTC 0,00000265"
"28/11/2023";"11:10:18";"Bitcoin";"Taxa sobre compra - Executora";"-BTC 0,00000001";"BTC 0,00000220"
"28/11/2023";"11:10:18";"Bitcoin";"Compra";"BTC 0,00000221";"BTC 0,00000221"
"28/11/2023";"11:10:18";"Real Brasileiro";"Compra";"-R$ 2.498,93";"R$ 0,64"
"28/11/2023";"11:10:18";"Real Brasileiro";"Compra";"-R$ 0,58";"R$ 2.499,56"
"28/11/2023";"11:10:18";"Real Brasileiro";"Compra";"-R$ 0,08";"R$ 2.500,15"
"28/11/2023";"11:10:18";"Real Brasileiro";"Compra";"-R$ 0,41";"R$ 2.500,23"
"28/11/2023";"11:07:42";"Real Brasileiro";"Depósito bancário";"R$ 2.500,00";"R$ 2.500,64"
"10/11/2023";"06:45:11";"Ethereum";"Retirada para carteira externa";"-ETH 1,04696718";"ETH 0,00000000"
"10/11/2023";"06:45:11";"Ethereum";"Taxa de mineração, prioridade normal";"-ETH 0,00330522";"ETH 1,04696718"
"09/11/2023";"09:21:02";"Ethereum";"Taxa sobre compra - Executora";"-ETH 0,00027671";"ETH 1,05027240"
"09/11/2023";"09:21:02";"Ethereum";"Compra";"ETH 0,05534329";"ETH 1,05054911"
"09/11/2023";"09:21:02";"Ethereum";"Taxa sobre compra - Executora";"-ETH 0,00000027";"ETH 0,99520582"
"09/11/2023";"09:21:02";"Ethereum";"Compra";"ETH 0,00005554";"ETH 0,99520609"
"09/11/2023";"09:21:02";"Ethereum";"Taxa sobre compra - Executora";"-ETH 0,00000033";"ETH 0,99515055"
"09/11/2023";"09:21:02";"Ethereum";"Compra";"ETH 0,00006732";"ETH 0,99515088"
"09/11/2023";"09:21:02";"Ethereum";"Taxa sobre compra - Executora";"-ETH 0,00500000";"ETH 0,99508356"
"09/11/2023";"09:21:02";"Ethereum";"Compra";"ETH 1,00000000";"ETH 1,00008356"
"09/11/2023";"09:21:02";"Ethereum";"Taxa sobre compra - Executora";"-ETH 0,00000041";"ETH 0,00008356"
"09/11/2023";"09:21:02";"Ethereum";"Compra";"ETH 0,00008397";"ETH 0,00008397"
"09/11/2023";"09:21:02";"Real Brasileiro";"Compra";"-R$ 525,04";"R$ 0,64"
"09/11/2023";"09:21:02";"Real Brasileiro";"Compra";"-R$ 0,53";"R$ 525,68"
"09/11/2023";"09:21:02";"Real Brasileiro";"Compra";"-R$ 0,64";"R$ 526,21"
"09/11/2023";"09:21:02";"Real Brasileiro";"Compra";"-R$ 9.473,00";"R$ 526,84"
"09/11/2023";"09:21:02";"Real Brasileiro";"Compra";"-R$ 0,79";"R$ 9.999,84"
"09/11/2023";"07:52:47";"Real Brasileiro";"Depósito bancário";"R$ 10.000,00";"R$ 10.000,64"
"08/11/2023";"16:24:39";"Ethereum";"Retirada para carteira externa";"-ETH 1,11305073";"ETH 0,00000000"
"08/11/2023";"16:24:39";"Ethereum";"Taxa de mineração, prioridade normal";"-ETH 0,00526633";"ETH 1,11305073"
"08/11/2023";"16:18:12";"Ethereum";"Taxa sobre compra - Executora";"-ETH 0,00035539";"ETH 1,11831706"
"08/11/2023";"16:18:12";"Ethereum";"Compra";"ETH 0,07107889";"ETH 1,11867245"
"08/11/2023";"16:18:12";"Ethereum";"Taxa sobre compra - Executora";"-ETH 0,00028507";"ETH 1,04759356"
"08/11/2023";"16:18:12";"Ethereum";"Compra";"ETH 0,05701449";"ETH 1,04787863"
"08/11/2023";"16:18:12";"Ethereum";"Taxa sobre compra - Executora";"-ETH 0,00000044";"ETH 0,99086414"
"08/11/2023";"16:18:12";"Ethereum";"Compra";"ETH 0,00008863";"ETH 0,99086458"
"08/11/2023";"16:18:12";"Ethereum";"Taxa sobre compra - Executora";"-ETH 0,00497868";"ETH 0,99077595"
"08/11/2023";"16:18:12";"Ethereum";"Compra";"ETH 0,99573788";"ETH 0,99575463"
"08/11/2023";"16:18:12";"Ethereum";"Taxa sobre compra - Executora";"-ETH 0,00000008";"ETH 0,00001675"
"08/11/2023";"16:18:12";"Ethereum";"Compra";"ETH 0,00001683";"ETH 0,00001683"
"08/11/2023";"16:18:12";"Real Brasileiro";"Compra";"-R$ 667,64";"R$ 0,64"
"08/11/2023";"16:18:12";"Real Brasileiro";"Compra";"-R$ 535,37";"R$ 668,28"
"08/11/2023";"16:18:12";"Real Brasileiro";"Compra";"-R$ 0,83";"R$ 1.203,65"
