operação;Data;hora;Moeda;quantidade;Valor (Custo FIFO);Ativo_Contraparte;Valor_Recebido_Contraparte;Fees
Entrada Fiat;2018-12-03;16:07:16;BRL;;7000,0;Banco;7000,0;0,0
Compra;2018-12-03;17:51:52;Bitcoin;0.39062501;5848,05;BRL;5848,05;0,00097656
Compra;2018-12-03;17:52:04;Bitcoin;0.04882813;731,01;BRL;731,01;0,00012207
Compra;2018-12-03;17:52:16;Bitcoin;0.02441407;365,5;BRL;365,5;6,104e-05
Compra;2018-12-03;17:52:29;Bitcoin;0.00370276;55,43;BRL;55,43;9,26e-06
Retirada para carteira externa;2018-12-03;18:03:48;Bitcoin;0.46564768;6971,21;Carteira Externa;0,0;0,00075336
Entrada Fiat;2018-12-12;19:01:00;BRL;;8000,0;Banco;8000,0;0,0
Compra;2018-12-12;19:17:37;Bitcoin;0.38557065;5254,41;BRL;5254,41;0,00192785
Compra;2018-12-12;19:17:37;Bitcoin;0.04520038;615,97;BRL;615,97;0,000226
Compra;2018-12-12;19:17:37;Bitcoin;0.01781699;242,8;BRL;242,8;8,908e-05
Compra;2018-12-12;19:17:37;Bitcoin;0.13831023;1884,84;BRL;1884,84;0,00069155
Retirada para carteira externa;2018-12-12;19:24:54;Bitcoin;0.58361337;7955,84;Carteira Externa;0,0;0,0003504
Entrada Fiat;2018-12-26;12:04:04;BRL;;6900,0;Banco;6900,0;0,0
Compra;2018-12-26;12:15:38;Bitcoin;0.45401795;6901,99;BRL;6901,99;0,00113504
Retirada para carteira externa;2018-12-26;12:59:14;Bitcoin;0.45253251;6871,21;Carteira Externa;0,0;0,0003504
Entrada Fiat;2018-12-27;12:01:57;BRL;;1100,0;Banco;1100,0;0,0
Compra;2018-12-27;12:13:56;Bitcoin;0.07320644;1100,0;BRL;1100,0;0,00036603
Retirada para carteira externa;2018-12-27;12:20:21;Bitcoin;0.07259513;1091,99;Carteira Externa;0,0;0,00024528
Entrada Fiat;2019-01-02;16:07:02;BRL;;3500,0;Banco;3500,0;0,0
Compra;2019-01-02;18:08:54;Bitcoin;0.23178716;3500,0;BRL;3500,0;0,00057947
Retirada para carteira externa;2019-01-02;19:42:48;Bitcoin;0.1;1509,47;Carteira Externa;0,0;0,0001
Retirada para carteira externa;2019-01-02;19:47:42;Bitcoin;0.13100769;1978,22;Carteira Externa;0,0;0,0001
Entrada Fiat;2019-01-18;14:15:10;BRL;;1500,0;Banco;1500,0;0,0
Compra;2019-01-18;15:42:23;Bitcoin;0.05407744;750,0;BRL;750,0;0,00027039
Retirada para carteira externa;2019-01-18;20:22:19;Bitcoin;0.05370705;754,81;Carteira Externa;0,0;0,0001
Compra;2019-01-19;10:25:00;Bitcoin;0.04373492;617,1;BRL;617,1;0,00010934
Compra;2019-01-19;10:50:19;Bitcoin;0.00942553;132,9;BRL;132,9;2,356e-05
Retirada para carteira externa;2019-01-19;17:14:44;Bitcoin;0.05292755;744,76;Carteira Externa;0,0;0,0001
Entrada Fiat;2019-02-08;11:22:04;BRL;;1500,0;Banco;1500,0;0,0
Compra;2019-02-08;11:28:02;Bitcoin;0.00098839;12,63;BRL;12,63;2,47e-06
Compra;2019-02-08;11:28:55;Bitcoin;0.00736926;94,14;BRL;94,14;1,842e-05
Compra;2019-02-08;11:31:57;Bitcoin;0.05793842;743,23;BRL;743,23;0,00028969
Compra;2019-02-08;11:33:58;Ethereum;1.62948107;650,0;BRL;650,0;0,00814741
Retirada para carteira externa;2019-02-08;11:45:41;Ethereum;1.62119506;646,69;Carteira Externa;0,0;0,0001386
