Data_Venda;Moeda;Quantidade;Data_Aquisição;Custo_Aquisição;Moeda_Venda;Valor_Venda;Resultado
2022-04-10;cReal;138,71;2022-03-02;0,0;BRL;128,67903064;128,67903064
2022-04-10;cReal;250,0;2022-04-01;0,0;BRL;231,92096936;231,92096936
2022-05-23;cReal;74,0;2022-05-02;0,0;BRL;70,44;70,44
2022-06-29;cReal;40,35;2022-06-03;0,0;BRL;38,77;38,77
2023-02-01;cReal;73,68;2022-07-05;0,0;BRL;72,94;72,94
2023-03-10;cReal;27,49;2023-02-07;0,0;BRL;27,21;27,21
2023-04-14;cReal;50,51;2023-04-13;0,0;BRL;49,95;49,95
2023-07-11;cReal;75,26;2023-07-05;0,0;BRL;72,47539683;72,47539683
2023-07-11;cReal;193,12;2023-07-10;0,0;BRL;185,97460317;185,97460317
2023-11-07;cReal;50,79;2023-08-10;0,0;BRL;48,82;48,82
