Data;hora;Moeda;Qtd;Tipo;Operação;Status
2018-12-03;18:03:48;Bitcoin;0,46640104;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2018-12-12;19:24:54;Bitcoin;0,58396377;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2018-12-26;12:59:14;Bitcoin;0,45288290999999997;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2018-12-27;12:20:21;Bitcoin;0,07284041;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2019-01-02;19:42:48;Bitcoin;0,10010000000000001;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2019-01-02;19:47:42;Bitcoin;0,13110769;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2019-01-18;20:22:19;Bitcoin;0,05380705;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2019-01-19;17:14:44;Bitcoin;0,05302755;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2019-02-08;11:45:41;Ethereum;1,6213336600000001;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2019-02-08;11:48:12;Bitcoin;0,06598549000000001;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2019-02-13;09:20:49;Bitcoin;0,43750629;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2019-02-18;08:10:42;Bitcoin;0,15895331999999998;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2019-02-19;12:09:12;Bitcoin;0,302635;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2019-02-19;12:14:47;Bitcoin;0,4539525;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2019-02-25;10:10:13;Bitcoin;0,10328789000000001;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2019-03-02;11:32:52;Bitcoin;0,20047012;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
