operação;Data;hora;Moeda;quantidade;Valor (Custo FIFO);Ativo_Contraparte;Valor_Recebido_Contraparte;Fees
Entrada Fiat;2018-12-03;16:07:16;BRL;;7000,0;Banco;7000,0;0,0
Compra;2018-12-03;17:51:52;Bitcoin;0.39062501;5848,05;BRL;5848,05;0,00097656
Venda;2018-12-03;17:51:52;Bitcoin;0.00097656;14,6200872;Desconhecido;0,0;0,00097656
Compra;2018-12-03;17:52:04;Bitcoin;0.04882813;731,01;BRL;731,01;0,00012207
Venda;2018-12-03;17:52:04;Bitcoin;0.00012207;1,8275109;Desconhecido;0,0;0,00012207
Compra;2018-12-03;17:52:16;Bitcoin;0.02441407;365,5;BRL;365,5;6,104e-05
Venda;2018-12-03;17:52:16;Bitcoin;6.104e-05;0,9138303;Desconhecido;0,0;6,104e-05
Compra;2018-12-03;17:52:29;Bitcoin;0.00370276;55,43;BRL;55,43;9,26e-06
Venda;2018-12-03;17:52:29;Bitcoin;9.26e-06;0,13863153;Desconhecido;0,0;9,26e-06
Retirada para carteira externa;2018-12-03;18:03:48;Bitcoin;0.46640104;6982,48994007;Carteira Externa;0,0;0,00075336
Entrada Fiat;2018-12-12;19:01:00;BRL;;8000,0;Banco;8000,0;0,0
Compra;2018-12-12;19:17:37;Bitcoin;0.04520038;615,97311501;BRL;615,97311501;0,000226
Compra;2018-12-12;19:17:37;Bitcoin;0.01781699;242,80297711;BRL;242,80297711;8,908e-05
Compra;2018-12-12;19:17:37;Bitcoin;0.38557065;5254,40614299;BRL;5254,40614299;0,00192785
Compra;2018-12-12;19:17:37;Bitcoin;0.13831023;1884,83776488;BRL;1884,83776488;0,00069155
Venda;2018-12-12;19:17:37;Bitcoin;0.00293448;39,98994669;Desconhecido;0,0;0,00293448
Retirada para carteira externa;2018-12-12;19:24:54;Bitcoin;0.58396377;7958,03005331;Carteira Externa;0,0;0,0003504
Entrada Fiat;2018-12-26;12:04:04;BRL;;6900,0;Banco;6900,0;0,0
Compra;2018-12-26;12:15:38;Bitcoin;0.45401795;6901,99;BRL;6901,99;0,00113504
Venda;2018-12-26;12:15:38;Bitcoin;0.00113504;17,25490089;Desconhecido;0,0;0,00113504
Retirada para carteira externa;2018-12-26;12:59:14;Bitcoin;0.45288290999999997;6884,73509911;Carteira Externa;0,0;0,0003504
Entrada Fiat;2018-12-27;12:01:57;BRL;;1100,0;Banco;1100,0;0,0
Compra;2018-12-27;12:13:56;Bitcoin;0.07320644;1100,0;BRL;1100,0;0,00036603
Venda;2018-12-27;12:13:56;Bitcoin;0.00036603;5,49996694;Desconhecido;0,0;0,00036603
Retirada para carteira externa;2018-12-27;12:20:21;Bitcoin;0.07284041;1094,50003306;Carteira Externa;0,0;0,00024528
Entrada Fiat;2019-01-02;16:07:02;BRL;;3500,0;Banco;3500,0;0,0
Compra;2019-01-02;18:08:54;Bitcoin;0.23178716;3500,0;BRL;3500,0;0,00057947
Venda;2019-01-02;18:08:54;Bitcoin;0.00057947;8,75003171;Desconhecido;0,0;0,00057947
Retirada para carteira externa;2019-01-02;19:42:48;Bitcoin;0.10010000000000001;1511,51599597;Carteira Externa;0,0;0,0001
Retirada para carteira externa;2019-01-02;19:47:42;Bitcoin;0.13110769;1979,73397232;Carteira Externa;0,0;0,0001
Entrada Fiat;2019-01-18;14:15:10;BRL;;1500,0;Banco;1500,0;0,0
Compra;2019-01-18;15:42:23;Bitcoin;0.05407744;750,0;BRL;750,0;0,00027039
Venda;2019-01-18;15:42:23;Bitcoin;0.00027039;3,75003883;Desconhecido;0,0;0,00027039
